timestamp,fault_type,location,voltage_drop_pct,current_spike_a,duration_s,severity
2024-01-17 10:02:29,ground_fault,bus_9,34.94,61.14,16.6,medium
2024-01-08 05:16:17,voltage_sag,bus_3,64.03,22.31,7.7,low
2024-01-05 06:24:23,overload,bus_2,62.42,69.96,30.2,medium
2024-02-27 04:01:16,short_circuit,bus_7,47.0,51.82,29.4,high
2024-02-06 13:04:10,normal,bus_5,4.57,1.86,0.0,none
2024-02-22 12:45:54,ground_fault,bus_5,31.44,68.52,60.8,medium
2024-01-01 11:13:09,overload,bus_11,46.82,44.42,5.7,medium
2024-01-11 07:45:34,normal,bus_7,4.24,1.81,0.0,none
2024-02-25 12:13:49,normal,bus_6,1.14,0.31,0.0,none
2024-01-07 23:50:04,overload,bus_1,43.57,27.04,0.4,medium
2024-02-25 03:33:14,voltage_sag,bus_10,50.14,44.47,25.9,low
2024-02-04 02:06:58,voltage_sag,bus_9,36.1,79.12,43.1,low
2024-02-13 05:26:10,normal,bus_1,1.26,1.43,0.0,none
2024-02-06 10:28:12,overload,bus_7,37.52,48.55,3.2,medium
2024-02-04 05:03:46,ground_fault,bus_6,29.13,42.71,61.0,medium
2024-01-16 01:45:38,normal,bus_12,0.32,1.77,0.0,none
2024-01-12 09:42:30,line_fault,bus_2,67.54,28.89,33.6,high
2024-02-23 03:53:10,overload,bus_9,33.11,42.45,23.7,medium
2024-02-26 00:06:38,short_circuit,bus_4,50.56,79.02,2.0,high
2024-01-06 00:00:18,overload,bus_8,45.34,40.48,27.3,medium
2024-01-24 04:02:49,line_fault,bus_11,61.7,53.76,25.0,high
2024-01-26 18:28:47,normal,bus_3,1.76,1.22,0.0,none
2024-01-08 16:30:57,voltage_sag,bus_2,56.71,35.81,5.9,low
2024-01-27 01:41:13,short_circuit,bus_6,60.05,51.84,62.3,high
2024-01-09 15:36:42,line_fault,bus_4,53.35,46.76,32.5,high
2024-02-21 11:18:39,normal,bus_6,2.47,0.86,0.0,none
2024-01-12 16:27:07,ground_fault,bus_3,65.11,13.32,7.9,medium
2024-01-21 19:40:45,normal,bus_5,3.96,1.56,0.0,none
2024-01-09 16:43:07,normal,bus_4,1.61,0.32,0.0,none
2024-01-12 23:48:47,voltage_sag,bus_3,36.77,41.31,7.5,low
2024-01-06 16:41:47,normal,bus_8,4.63,0.17,0.0,none
2024-01-16 15:40:16,voltage_sag,bus_3,31.57,56.26,60.3,low
2024-01-03 19:54:30,voltage_sag,bus_2,28.34,67.27,43.4,low
2024-02-27 13:20:26,voltage_sag,bus_2,34.42,47.26,19.6,low
2024-01-13 17:36:24,voltage_sag,bus_7,20.07,52.96,9.0,low
2024-01-27 02:25:39,voltage_sag,bus_1,40.07,77.84,5.3,low
2024-01-17 21:48:48,normal,bus_2,2.41,0.18,0.0,none
2024-02-25 23:21:52,short_circuit,bus_9,27.46,61.48,103.1,high
2024-02-18 04:45:45,short_circuit,bus_11,32.47,49.75,46.2,high
2024-02-23 20:13:36,normal,bus_10,3.27,0.26,0.0,none
2024-01-13 17:25:44,short_circuit,bus_3,63.29,46.22,6.8,high
2024-01-07 10:51:03,line_fault,bus_3,27.41,36.38,10.8,high
2024-02-19 23:12:46,line_fault,bus_10,44.0,46.26,43.1,high
2024-01-30 05:01:59,normal,bus_1,0.99,0.25,0.0,none
2024-02-04 12:09:02,normal,bus_1,0.19,0.91,0.0,none
2024-02-16 08:03:06,normal,bus_10,0.77,1.74,0.0,none
2024-02-08 06:36:24,voltage_sag,bus_5,22.99,66.24,67.1,low
2024-01-22 19:43:36,overload,bus_2,53.78,15.26,52.5,medium
2024-02-20 17:58:20,line_fault,bus_2,28.67,71.35,9.9,high
2024-01-16 12:04:07,voltage_sag,bus_2,30.56,19.79,16.1,low
2024-01-01 14:41:59,short_circuit,bus_2,33.4,69.99,109.6,high
2024-02-10 22:13:32,voltage_sag,bus_1,28.92,20.46,6.2,low
2024-02-03 10:20:27,normal,bus_11,1.04,1.77,0.0,none
2024-01-30 00:22:16,ground_fault,bus_8,52.13,30.06,29.6,medium
2024-01-28 02:29:40,normal,bus_12,0.91,1.66,0.0,none
2024-01-20 06:23:04,line_fault,bus_7,23.32,14.26,66.3,high
2024-02-18 05:14:02,normal,bus_12,3.33,0.87,0.0,none
2024-02-23 07:58:05,short_circuit,bus_8,47.84,49.09,32.5,high
2024-02-18 02:01:56,normal,bus_1,4.62,1.08,0.0,none
2024-01-24 10:27:19,line_fault,bus_10,61.6,43.5,8.3,high
2024-01-04 21:55:37,short_circuit,bus_4,29.07,38.05,43.8,high
2024-02-10 10:52:02,normal,bus_1,4.83,0.1,0.0,none
2024-01-27 01:33:19,normal,bus_10,3.45,0.87,0.0,none
2024-02-17 09:25:10,normal,bus_9,4.03,1.91,0.0,none
2024-02-02 04:20:11,voltage_sag,bus_6,36.5,38.66,72.0,low
2024-02-24 10:19:02,line_fault,bus_9,38.93,39.77,120.9,high
2024-02-05 13:20:57,normal,bus_3,1.98,0.16,0.0,none
2024-02-26 14:24:30,short_circuit,bus_2,22.83,79.53,25.6,high
2024-02-14 14:25:09,voltage_sag,bus_2,61.62,20.3,7.9,low
2024-02-05 01:24:17,normal,bus_6,0.53,1.86,0.0,none
2024-02-10 15:47:48,ground_fault,bus_2,43.38,48.14,3.7,medium
2024-01-27 01:33:21,ground_fault,bus_8,65.28,28.59,37.5,medium
2024-02-18 13:34:50,short_circuit,bus_5,39.83,47.02,13.5,high
2024-01-02 06:11:15,normal,bus_4,3.62,1.65,0.0,none
2024-02-27 04:09:57,normal,bus_11,0.91,1.42,0.0,none
2024-02-22 00:38:34,voltage_sag,bus_5,67.46,27.3,30.8,low
2024-02-11 21:59:40,line_fault,bus_9,55.34,33.75,28.5,high
